								  t1  t2  t3
a                                 16  26  27  
about                             2   5   3   
absurd                            0   1   0   
across                            0   2   1   
admirers                          1   0   0   
adopted                           1   0   0   
adventure                         0   1   0   
adventures                        0   3   0   
after                             1   3   1   
again                             2   0   1   
age                               2   0   0   
agin                              1   0   0   
ago                               0   2   0   
all                               3   4   2   
along                             0   1   0   
also                              1   1   1   
although                          0   1   1   
altogether                        0   1   0   
always                            1   0   1   
among                             1   0   0   
amount                            0   0   1   
an                                1   4   2   
ancestors                         0   1   0   
and                               35  36  21  
announced                         1   0   0   
another                           0   1   1   
any                               1   4   1   
anyone                            1   0   1   
anything                          0   2   1   
anywhere                          0   0   1   
apparently                        1   1   0   
are                               1   2   0   
around                            0   0   2   
arrived                           0   1   2   
as                                12  5   10  
asked                             1   0   0   
asking                            0   1   0   
at                                11  2   7   
attentive                         1   0   0   
audience                          1   0   0   
authority                         2   0   0   
autumn                            1   0   0   
away                              1   0   2   
back                              1   0   3   
backed                            0   0   1   
bad                               1   0   0   
bag                               6   0   0   
baggins                           8   7   0   
bagginses                         1   2   0   
bagshot                           1   0   0   
bakery                            0   0   1   
bare                              0   1   0   
bathrooms                         0   1   0   
be                                6   3   6   
bear                              0   0   2   
bearded                           0   1   0   
beards                            0   1   0   
beats                             1   0   0   
beautiful                         0   1   0   
became                            1   1   0   
because                           0   3   3   
become                            1   1   0   
bedrooms                          0   1   0   
beefy                             0   0   1   
been                              2   0   2   
before                            2   0   0   
began                             3   0   0   
behaved                           0   1   0   
being                             1   1   0   
believed                          1   0   0   
belladonna                        0   2   0   
below                             1   0   0   
best                              0   1   0   
better                            1   0   0   
between                           1   0   0   
beyond                            0   1   0   
big                               1   1   1   
bilbo                             11  4   0   
birthday                          2   0   0   
bit                               0   1   1   
blinked                           0   0   1   
blonde                            0   0   1   
blundering                        0   1   0   
boats                             1   0   0   
boring                            0   0   1   
both                              1   0   0   
bother                            0   1   0   
boy                               0   0   2   
brandybuck                        1   0   0   
brandybucks                       1   0   0   
brandywine                        1   0   0   
brass                             0   1   0   
breakfast                         0   1   0   
breed                             1   0   0   
briefcase                         0   0   1   
bright                            0   1   0   
broad                             0   0   1   
brought                           2   0   0   
brown                             0   2   0   
brushed                           0   1   0   
buckland                          2   0   0   
built                             0   2   0   
bun                               0   0   1   
bungo                             0   2   0   
bush                              1   0   0   
but                               9   5   7   
buy                               0   0   1   
by                                2   3   2   
bywater                           3   0   0   
call                              1   1   0   
called                            1   1   2   
calling                           1   0   0   
calls                             0   0   1   
came                              1   1   1   
can                               1   2   0   
car                               0   0   1   
carpeted                          0   1   0   
carried                           1   0   0   
cat                               0   0   5   
cats                              0   0   1   
celebrate                         1   0   0   
celebrating                       1   0   0   
cellars                           0   1   0   
cereal                            0   0   1   
certainly                         0   1   0   
chair                             0   0   1   
chairs                            0   1   0   
chance                            0   3   0   
character                         1   0   0   
cheek                             0   0   1   
chief                             1   0   0   
chiefly                           0   1   0   
child                             0   0   1   
childhood                         1   0   0   
chortled                          0   0   1   
clever                            0   1   0   
cloak                             0   0   1   
cloaks                            0   0   1   
close                             1   0   1   
clothes                           0   1   1   
cloudy                            0   0   1   
collecting                        0   0   1   
colours                           0   1   0   
combined                          1   0   0   
come                              3   2   0   
comfort                           0   1   0   
comfortable                       0   2   0   
comfortably                       1   0   0   
coming                            2   0   0   
commonly                          1   0   0   
concentrate                       0   0   1   
considered                        0   1   0   
constantly                        1   0   0   
consulting                        1   0   0   
conversation                      1   0   0   
corner                            0   0   3   
could                             1   1   5   
country                           0   0   1   
couple                            0   0   1   
course                            2   1   0   
cousins                           1   0   0   
craning                           0   0   1   
curious                           1   1   0   
curly                             0   1   0   
dad                               1   0   0   
daddy                             1   0   0   
dark                              1   0   0   
darker                            1   0   0   
dashed                            1   0   0   
date                              1   0   0   
daughters                         0   1   0   
day                               1   1   1   
daylight                          0   0   1   
days                              0   1   0   
decent                            1   0   0   
declared                          1   0   0   
deep                              0   1   0   
demand                            1   0   0   
described                         0   1   0   
description                       0   1   0   
devoted                           1   1   0   
did                               0   1   7   
different                         0   0   1   
dinner                            0   1   0   
director                          0   0   1   
dirty                             0   1   0   
disappear                         0   1   0   
disappearance                     1   0   0   
disappeared                       0   1   0   
discover                          0   0   1   
discreetly                        0   1   0   
doing                             0   1   0   
door                              0   3   0   
doors                             0   1   0   
down                              0   4   1   
dress                             0   1   0   
dressed                           0   0   2   
drills                            0   0   5   
drive                             0   0   4   
driven                            0   0   1   
drogo                             1   0   0   
drove                             0   0   2   
drummed                           0   0   1   
dry                               0   1   0   
dudley                            0   0   5   
dull                              0   0   1   
dursley                           0   0   21  
dursleys                          0   0   4   
dwarves                           0   1   0   
each                              1   0   0   
eat                               0   1   0   
edge                              0   0   1   
edition                           0   1   0   
effect                            1   0   0   
eight                             0   0   1   
either                            0   1   0   
eldest                            1   0   0   
elephants                         0   1   0   
else                              0   0   1   
end                               6   2   0   
ends                              0   1   0   
enormous                          0   1   0   
enough                            1   1   0   
enraged                           0   0   1   
entirely                          0   1   0   
especially                        1   1   0   
even                              0   0   2   
event                             1   0   0   
ever                              1   1   0   
everyday                          0   1   0   
everything                        0   0   1   
exact                             0   1   0   
exactly                           0   1   0   
except                            1   1   1   
exceptional                       1   0   0   
excitedly                         0   0   1   
excitement                        1   0   0   
expect                            0   0   1   
eyes                              0   0   1   
faces                             0   1   0   
fact                              0   2   1   
fairly                            0   1   0   
fairy                             0   1   0   
fame                              1   0   0   
families                          1   1   0   
family                            1   1   0   
famous                            0   1   0   
far                               1   0   0   
fashion                           0   0   1   
fat                               0   1   0   
father                            2   3   0   
favourite                         1   0   0   
fear                              0   0   1   
feet                              0   1   0   
fell                              0   0   1   
fences                            0   0   1   
few                               0   0   1   
fifty                             1   1   0   
filled                            0   1   0   
finally                           1   0   0   
finer                             0   0   1   
fingers                           0   1   1   
firm                              0   0   1   
first                             0   1   1   
five                              0   0   1   
floor                             0   1   1   
floors                            0   1   0   
flutter                           0   0   1   
folk                              2   1   0   
folks                             1   0   0   
fond                              0   1   0   
fool                              1   0   0   
foot                              0   1   0   
for                               10  9   5   
forest                            2   0   0   
forgive                           1   0   0   
forth                             1   0   0   
fortune                           1   0   0   
forty                             1   0   0   
found                             1   2   2   
four                              0   0   2   
friendly                          1   0   0   
friends                           1   0   0   
frodo                             9   0   0   
from                              1   1   1   
fruity                            0   1   0   
full                              1   0   0   
funny                             0   0   1   
gaffer                            4   0   0   
gained                            0   1   0   
gamgee                            2   0   0   
gandalf                           0   2   0   
garden                            1   1   1   
gave                              0   0   1   
gazed                             0   0   1   
generous                          1   0   0   
gentlehobbit                      1   0   0   
get                               0   1   1   
getups                            0   0   1   
given                             1   0   0   
go                                1   2   0   
going                             2   3   0   
good                              2   0   2   
gossiped                          0   0   1   
got                               0   1   1   
gray                              0   0   1   
greatest                          0   0   1   
green                             0   3   0   
ground                            0   1   0   
grow                              1   1   0   
growing                           2   0   0   
grown                             0   1   0   
grunnings                         0   0   2   
had                               13  8   12  
hair                              0   1   0   
half                              2   1   1   
hall                              0   1   0   
ham                               1   0   0   
happened                          1   0   0   
happening                         0   0   1   
happily                           0   0   1   
harder                            0   0   1   
hardly                            0   0   1   
hats                              0   1   0   
have                              5   11  5   
having                            0   0   1   
he                                12  6   26  
head                              0   1   1   
heads                             1   1   0   
hear                              1   2   0   
heard                             1   3   0   
height                            0   1   0   
heir                              1   0   0   
held                              1   0   0   
help                              0   0   1   
helped                            1   0   0   
helps                             0   1   0   
her                               0   3   3   
here                              1   0   0   
high                              0   0   1   
hill                              2   5   0   
him                               8   2   2   
himself                           3   1   2   
his                               15  7   15  
history                           2   0   0   
hobbit                            3   6   0   
hobbitlike                        0   1   0   
hobbiton                          3   0   0   
hobbits                           3   4   0   
hold                              0   0   1   
hole                              0   3   0   
holman                            1   0   0   
hopes                             1   0   0   
hoping                            0   0   1   
house                             0   0   1   
how                               0   1   0   
however                           0   0   1   
huddle                            0   0   1   
hummed                            0   0   1   
husband                           0   0   1   
hushed                            0   1   0   
i                                 1   5   0   
if                                2   1   3   
immovably                         0   1   0   
important                         1   0   1   
in                                13  15  15  
inclined                          0   1   0   
including                         1   0   0   
indeed                            0   1   0   
inexhaustible                     1   0   0   
ing                               0   0   1   
inn                               1   0   0   
into                              0   1   2   
involved                          0   0   1   
irresponsible                     1   0   0   
is                                3   6   0   
it                                9   8   10  
itself                            1   0   0   
ivy                               1   0   0   
jam                               0   0   1   
jerked                            0   0   1   
job                               2   0   0   
joints                            1   0   0   
just                              1   1   1   
keeping                           0   0   1   
kiss                              0   0   1   
kitchens                          0   1   0   
knew                              0   0   1   
knob                              0   1   0   
know                              0   1   0   
known                             1   0   0   
lad                               1   0   0   
large                             0   1   3   
last                              0   0   1   
later                             0   0   1   
laugh                             0   1   0   
laughs                            0   1   0   
leading                           1   0   0   
leathery                          0   1   0   
left                              0   0   1   
legend                            1   0   0   
legs                              0   0   1   
less                              0   1   0   
light                             0   0   1   
like                              1   6   1   
little                            1   4   2   
live                              4   0   0   
lived                             1   3   0   
lively                            1   0   0   
lives                             1   0   0   
living                            0   1   0   
local                             1   0   0   
long                              0   4   0   
look                              0   0   1   
looked                            0   1   0   
looking                           1   1   1   
looks                             1   0   0   
lost                              0   1   0   
lot                               0   0   2   
lots                              0   3   0   
lunchtime                         0   0   1   
luxurious                         0   1   0   
made                              0   0   2   
magic                             0   1   0   
magnificence                      1   0   0   
mainly                            1   0   0   
making                            0   1   0   
man                               0   0   2   
many                              1   2   0   
map                               0   0   2   
maps                              0   0   1   
mark                              1   0   0   
marvel                            1   0   0   
matter                            1   0   0   
may                               1   1   0   
me                                1   1   0   
meadows                           0   1   0   
means                             0   1   0   
meet                              1   0   0   
members                           0   1   0   
met                               0   0   1   
middle                            0   1   0   
might                             1   0   1   
mile                              0   1   0   
miles                             0   1   0   
mind                              0   1   3   
minutes                           0   0   1   
mirror                            0   0   1   
missed                            0   0   1   
mixing                            0   0   1   
money                             1   1   0   
mood                              0   0   1   
more                              4   1   1   
morning                           0   1   3   
most                              1   2   2   
mother                            0   2   0   
mouthed                           0   0   1   
moved                             0   0   1   
much                              5   0   2   
must                              0   1   1   
mustache                          0   0   1   
my                                1   0   0   
mysterious                        0   0   2   
name                              1   1   0   
nasty                             0   1   0   
natural                           2   1   0   
nearer                            1   0   0   
nearly                            0   1   1   
neatly                            0   1   0   
neck                              0   0   2   
need                              0   1   0   
neighbors                         0   0   2   
neighbour                         1   0   0   
neighbourhood                     1   1   0   
nerve                             0   0   1   
never                             1   2   2   
new                               0   0   1   
nice                              2   0   0   
nighttime                         0   0   1   
ninety                            1   0   0   
ninth                             0   0   1   
no                                3   4   2   
noakes                            1   0   0   
noise                             0   2   0   
none                              0   0   1   
nonsense                          0   0   1   
nor                               0   1   0   
normal                            0   0   2   
not                               2   6   0   
nothing                           0   1   2   
noticed                           0   0   2   
noticing                          0   0   1   
now                               3   1   2   
nowadays                          0   1   0   
number                            3   0   2   
numerous                          0   1   0   
obviously                         0   0   1   
oddities                          1   0   0   
of                                26  28  21  
off                               0   1   0   
office                            0   0   1   
often                             0   1   0   
old                               8   2   0   
older                             1   0   1   
on                                9   12  13  
once                              1   1   0   
one                               2   4   0   
ones                              0   1   0   
only                              1   6   0   
oozy                              0   1   0   
opened                            0   2   0   
opinion                           0   0   1   
or                                0   7   2   
order                             0   0   1   
ordinary                          0   1   0   
other                             1   1   0   
our                               1   2   1   
out                               0   3   5   
outside                           0   0   1   
over                              1   2   2   
overhead                          0   0   1   
owl                               0   0   4   
owls                              0   0   1   
paid                              1   0   0   
painted                           0   1   0   
panelled                          0   1   0   
pantries                          0   1   0   
parking                           0   0   1   
particular                        0   1   0   
partly                            0   1   0   
party                             1   1   0   
passage                           0   1   0   
passed                            1   0   0   
passion                           1   0   0   
past                              0   0   3   
pecked                            0   0   1   
peculiar                          1   0   1   
pegs                              0   1   0   
people                            1   4   8   
perfect                           1   0   0   
perfectly                         0   1   2   
perpetual                         1   0   0   
picked                            0   0   2   
pipe                              0   1   0   
place                             1   0   0   
planned                           1   0   0   
pointed                           0   0   1   
polished                          0   1   0   
polite                            1   0   0   
poor                              1   0   0   
popularly                         1   0   0   
porthole                          0   1   0   
possess                           1   0   0   
possible                          0   0   1   
potatoes                          1   0   0   
potter                            0   0   1   
potters                           0   0   4   
prepared                          0   1   0   
pretended                         0   0   1   
privet                            0   0   3   
probable                          0   1   0   
probably                          0   0   1   
prolonged                         1   0   0   
prosperous                        0   1   0   
proud                             0   0   1   
provided                          0   1   0   
put                               1   0   1   
quarter                           0   1   0   
queer                             2   1   0   
question                          0   1   0   
quickly                           0   1   0   
quiet                             0   1   0   
quietly                           0   1   0   
quite                             1   1   1   
ran                               0   1   0   
rare                              0   1   0   
rather                            1   0   0   
reached                           1   1   0   
read                              0   0   1   
reading                           0   0   2   
ready                             1   0   0   
realize                           0   0   1   
reason                            0   0   1   
recognized                        1   0   0   
relatives                         1   0   0   
remained                          1   2   0   
remarkable                        1   2   0   
reminiscences                     1   0   0   
reputedly                         1   0   0   
respect                           0   1   0   
respectable                       2   2   0   
return                            1   0   0   
rich                              1   1   0   
richer                            0   1   0   
riches                            1   0   0   
right                             2   0   0   
river                             2   2   0   
road                              1   0   2   
rooms                             0   2   0   
round                             0   4   0   
row                               1   0   0   
rumour                            1   0   0   
rumours                           1   0   0   
sackvillebagginses                1   0   0   
said                              5   1   1   
sam                               1   0   0   
same                              3   2   0   
sandy                             0   1   0   
sat                               0   0   2   
saw                               0   0   1   
say                               3   1   2   
saying                            0   2   0   
screaming                         0   0   1   
second                            0   1   1   
secret                            0   0   1   
see                               0   1   2   
seemed                            2   0   1   
seemingly                         1   0   0   
seen                              0   0   3   
september                         1   0   0   
settled                           0   1   0   
several                           1   0   2   
shake                             0   0   1   
she                               0   1   3   
shiny                             0   1   0   
shire                             2   0   0   
shoes                             0   1   0   
shook                             1   0   0   
shortly                           1   0   0   
should                            2   0   0   
shouted                           0   0   1   
shuddered                         0   0   1   
shy                               0   1   0   
side                              1   4   0   
sight                             0   0   1   
sign                              0   0   3   
signs                             0   0   1   
silly                             0   0   1   
since                             1   1   0   
sister                            0   0   3   
sit                               0   1   0   
sixty                             1   0   0   
sky                               0   0   1   
sloping                           0   1   0   
small                             2   1   2   
smaller                           0   1   0   
smell                             0   1   0   
smoke                             0   1   0   
smoking                           0   1   0   
so                                2   1   1   
soles                             0   1   0   
solid                             0   1   0   
some                              3   2   2   
somebody                          0   0   1   
something                         1   3   3   
son                               2   1   2   
soon                              0   0   1   
sort                              0   2   0   
special                           1   0   0   
sped                              0   0   1   
spent                             0   0   1   
spoke                             1   0   0   
spying                            0   0   1   
standing                          0   1   2   
stared                            0   0   2   
starts                            0   0   1   
steering                          0   0   1   
stiff                             1   0   0   
still                             1   3   0   
stomach                           0   1   0   
story                             0   1   1   
straight                          0   1   0   
strange                           0   0   2   
strangely                         0   0   1   
street                            0   0   3   
stretch                           0   0   1   
struck                            0   0   1   
stuff                             0   1   0   
stuffed                           1   0   0   
stunt                             0   0   1   
stupid                            0   1   1   
such                              0   0   1   
suddenly                          1   0   0   
suggest                           0   0   1   
suppose                           0   1   0   
supposed                          0   0   1   
swoop                             0   0   1   
tabby                             0   0   1   
taken                             0   1   0   
tale                              0   1   0   
tales                             1   0   0   
talk                              1   0   0   
tantrum                           0   0   1   
tawny                             0   0   1   
telephone                         0   0   1   
tell                              1   1   0   
tended                            1   0   0   
terms                             2   0   0   
than                              3   1   1   
thank                             0   0   1   
that                              16  12  14  
the                               45  55  46  
