								  t1  t2  t3
a and                             0   1   0   
a baggins                         1   2   0   
a big                             0   0   1   
a bit                             0   1   1   
a brandybuck                      1   0   0   
a bun                             0   0   1   
a cat                             0   0   1   
a chance                          0   1   0   
a child                           0   0   1   
a couple                          0   0   1   
a dark                            1   0   0   
a day                             0   1   0   
a decent                          1   0   0   
a dry                             0   1   0   
a fairy                           0   1   0   
a few                             0   0   1   
a firm                            0   0   1   
a good                            1   0   0   
a hall                            0   1   0   
a hobbit                          1   2   0   
a hole                            0   1   0   
a huddle                          0   0   1   
a large                           0   0   2   
a little                          0   1   1   
a local                           1   0   0   
a lot                             0   0   1   
a map                             0   0   2   
a mile                            0   1   0   
a more                            1   0   0   
a nasty                           0   1   0   
a noise                           0   1   0   
a party                           1   0   0   
a passion                         1   0   0   
a perfectly                       0   1   1   
a porthole                        0   1   0   
a quarter                         0   1   0   
a queer                           1   0   0   
a rather                          1   0   0   
a screaming                       0   0   1   
a second                          0   1   1   
a secret                          0   0   1   
a shiny                           0   1   0   
a sister                          0   0   1   
a small                           1   0   2   
a story                           0   1   0   
a tabby                           0   0   1   
a tantrum                         0   0   1   
a trick                           0   0   1   
a tunnel                          0   1   0   
a very                            1   2   2   
a while                           0   1   0   
a wife                            1   0   0   
a young                           1   0   0   
about fifty                       0   1   0   
about half                        0   1   0   
about him                         0   1   0   
about people                      0   0   1   
about the                         0   0   2   
about them                        0   2   0   
about this                        1   0   0   
about with                        1   0   0   
absurd but                        0   1   0   
across the                        0   2   1   
admirers among                    1   0   0   
adopted frodo                     1   0   0   
adventure and                     0   1   0   
adventures after                  0   1   0   
adventures or                     0   1   0   
adventures they                   0   1   0   
after all                         1   0   0   
after breakfast                   0   1   0   
after dinner                      0   1   0   
after owl                         0   0   1   
after she                         0   1   0   
again the                         1   0   0   
again there                       0   0   1   
age at                            1   0   0   
age for                           1   0   0   
agin the                          1   0   0   
ago in                            0   1   0   
ago one                           0   1   0   
all his                           1   0   0   
all in                            1   0   0   
all on                            0   1   0   
all over                          1   0   1   
all the                           0   1   0   
all there                         0   1   0   
all were                          0   1   0   
all why                           0   0   1   
along making                      0   1   0   
also because                      0   1   0   
also had                          0   0   1   
also his                          1   0   0   
although he                       0   1   1   
altogether unexpected             0   1   0   
always said                       1   0   0   
always sat                        0   0   1   
among the                         1   0   0   
amount of                         0   0   1   
an adventure                      0   1   0   
an cloak                          0   0   1   
an enormous                       0   1   0   
an important                      1   0   0   
an oozy                           0   1   0   
an owl                            0   0   1   
an unexpected                     0   1   0   
ancestors must                    0   1   0   
and a                             1   0   1   
and an                            0   1   0   
and as                            1   0   0   
and backed                        0   0   1   
and behaved                       0   1   0   
and bilbo                         0   1   0   
and blonde                        0   0   1   
and brought                       1   0   0   
and bywater                       1   0   0   
and carpeted                      0   1   0   
and character                     1   0   0   
and comfortable                   0   1   0   
and coming                        1   0   0   
and consulting                    1   0   0   
and dursley                       0   0   3   
and excitement                    1   0   0   
and favourite                     1   0   0   
